# -*- coding: utf-8 -*-
#
# Excluded and missing days
#
# Natsis Athanasios <natsisthanasis@gmail.com>
# 2016-12-23
#
# These days are excluded from use!
# After inspection found:
#    - to contain unusable data
#    - missing completely
#    - are filled with NAs or NANs
#
# This list is mainly for the older data, newer data
# are excluded with a list of date ranges.


2006-02-11 00:01;    2006-02-11 23:59;    missing file
2006-02-12 00:01;    2006-02-12 23:59;    missing file
2006-04-29 00:01;    2006-04-29 23:59;    missing file
2006-04-30 00:01;    2006-04-30 23:59;    missing file
2006-05-27 00:01;    2006-05-27 23:59;    missing file
2006-05-28 00:01;    2006-05-28 23:59;    missing file
2006-06-08 00:01;    2006-06-08 23:59;    stub file no usable data
2006-06-13 00:01;    2006-06-13 23:59;    missing file
2006-06-14 00:01;    2006-06-14 23:59;    missing file
2006-06-15 00:01;    2006-06-15 23:59;    missing file
2006-08-24 00:01;    2006-08-24 23:59;    missing file
2006-10-07 00:01;    2006-10-07 23:59;    missing file
2006-10-08 00:01;    2006-10-08 23:59;    missing file
2006-10-28 00:01;    2006-10-28 23:59;    missing file
2006-11-12 00:01;    2006-11-12 23:59;    missing file
2006-12-08 00:01;    2006-12-08 23:59;    missing file
2006-12-09 00:01;    2006-12-09 23:59;    missing file
2006-12-10 00:01;    2006-12-10 23:59;    missing file
2006-12-11 00:01;    2006-12-11 23:59;    missing file
2006-12-12 00:01;    2006-12-12 23:59;    missing file
2006-12-24 00:01;    2006-12-24 23:59;    broken sequence
2006-12-25 00:01;    2006-12-25 23:59;    broken sequence
2006-12-26 00:01;    2006-12-26 23:59;    stub file no usable data
2006-12-28 00:01;    2006-12-28 23:59;    broken sequence
2006-12-29 00:01;    2006-12-29 23:59;    broken sequence
2006-12-30 00:01;    2006-12-30 23:59;    broken sequence
2006-12-31 00:01;    2006-12-31 23:59;    stub file no usable data

2007-01-01 00:01;    2007-01-01 23:59;    broken sequence no usable data
2007-01-02 00:01;    2007-01-02 23:59;    broken sequence no usable data
2007-01-03 00:01;    2007-01-03 23:59;    broken sequence no usable data
2007-01-04 00:01;    2007-01-04 23:59;    broken sequence no usable data
2007-01-05 00:01;    2007-01-05 23:59;    broken sequence no usable data
2007-01-06 00:01;    2007-01-06 23:59;    missing file
2007-01-07 00:01;    2007-01-07 23:59;    missing file
2007-01-08 00:01;    2007-01-08 23:59;    range of bad data and timing
2007-01-09 00:01;    2007-01-09 23:59;    range of bad data and timing
2007-01-10 00:01;    2007-01-10 23:59;    range of bad data and timing
2007-01-11 00:01;    2007-01-11 23:59;    range of bad data and timing
