# -*- coding: utf-8 -*-
#
# Excluded and missing days
#
# Natsis Athanasios <natsisthanasis@gmail.com>
# 2016-12-23
#
# These days are excluded from use!
# After inspection found:
#    - to contain unusable data
#    - missing completely
#    - are filled with NAs or NANs
#
# This list is mainly for the older data, newer data
# are excluded with a list of date ranges.
#
2006-02-11    # missing file
2006-02-12    # missing file
2006-04-29    # missing file
2006-04-30    # missing file
2006-05-27    # missing file
2006-05-28    # missing file
2006-06-08    # stub file no usable data
2006-06-13    # missing file
2006-06-14    # missing file
2006-06-15    # missing file
2006-08-24    # missing file
2006-10-07    # missing file
2006-10-08    # missing file
2006-10-28    # missing file
2006-11-12    # missing file
2006-12-08    # missing file
2006-12-09    # missing file
2006-12-10    # missing file
2006-12-11    # missing file
2006-12-12    # missing file
2006-12-24    # broken sequence
2006-12-25    # broken sequence
2006-12-26    # stub file no usable data
2006-12-28    # broken sequence
2006-12-29    # broken sequence
2006-12-30    # broken sequence
2006-12-31    # stub file no usable data

2007-01-01    # broken sequence no usable data
2007-01-02    # broken sequence no usable data
2007-01-03    # broken sequence no usable data
2007-01-04    # broken sequence no usable data
2007-01-05    # broken sequence no usable data
2007-01-06    # missing file
2007-01-07    # missing file
2007-01-08    # range of bad data and timing
2007-01-09    # range of bad data and timing
2007-01-10    # range of bad data and timing
2007-01-11    # range of bad data and timing
2007-01-12    # range of bad data and timing
2007-01-13    # stub file no usable data
2007-01-14    # stub file no usable data
2007-01-15    # range of bad data and timing
2007-01-16    # range of bad data and timing
2007-01-17    # range of bad data and timing
2007-01-18    # range of bad data and timing
2007-01-19    # range of bad data and timing
2007-01-20    # range of bad data and timing
2007-01-21    # stub file no usable data
2007-01-22    # range of bad data and timing
2007-01-23    # missing file
2007-01-24    # range of bad data and timing
2007-01-25    # range of bad data and timing
2007-01-26    # range of bad data and timing
2007-02-18    # missing file
2007-02-19    # missing file
2007-02-21    # only few data at night
2007-02-22    # missing file
2007-02-25    # missing file
2007-02-26    # missing file
2007-02-27    # missing file
2007-02-28    # missing file
2007-03-08    # stub file no usable data
2007-05-26    # missing file
2007-05-27    # missing file
2007-06-08    # missing file
2007-06-09    # missing file
2007-06-10    # missing file
2007-09-16    # missing file
2007-09-17    # missing file
2007-12-01    # only few data at night
2007-12-02    # missing file

2008-03-06    # missing file
2008-03-07    # missing file
2008-03-08    # missing file
2008-03-09    # missing file
2008-03-10    # missing file
2008-08-16    # missing file
2008-08-17    # missing file

2009-06-18    # too few data
2009-06-19    # missing file
2009-06-20    # missing file
2009-06-21    # missing file
2009-07-04    # missing file
2009-07-05    # missing file
2009-07-06    # missing file
2009-07-09    # missing file
2009-08-09    # missing file
2009-08-22    # missing file
2009-08-23    # missing file
2009-08-24    # too few data
2009-08-25    # missing file
2009-08-26    # missing file
2009-09-26    # missing file
2009-09-27    # missing file
2009-10-13    # only few data at night

2010-01-14    # missing file
2010-01-30    # missing file
2010-01-31    # missing file
2010-02-01    # missing file
2010-02-02    # missing file
2010-02-03    # missing file
2010-02-07    # missing file
2010-02-12    # missing file
2010-02-13    # missing file
2010-02-14    # missing file
2010-02-15    # missing file
2010-02-16    # missing file
2010-03-10    # missing file
2010-03-11    # missing file
2010-04-03    # missing file
2010-04-04    # missing file
2010-04-05    # missing file
2010-05-11    # missing file
2010-05-12    # missing file
2010-05-13    # missing file
2010-07-10    # missing file
2010-07-11    # missing file
2010-07-16    # missing file
2010-07-17    # missing file
2010-07-18    # missing file
2010-07-24    # missing file
2010-07-25    # missing file
2010-07-26    # missing file
2010-07-27    # missing file
2010-07-28    # missing file
2010-07-29    # missing file
2010-07-30    # missing file
2010-07-31    # missing file
2010-08-01    # missing file
2010-08-03    # missing file
2010-08-06    # stub file no usable data
2010-08-07    # stub file no usable data
2010-08-08    # stub file no usable data
2010-08-09    # stub file no usable data
2010-08-10    # stub file no usable data
2010-08-11    # stub file no usable data
2010-08-12    # stub file no usable data
2010-08-13    # stub file no usable data
2010-08-14    # stub file no usable data
2010-08-15    # stub file no usable data
2010-08-16    # stub file no usable data
2010-08-17    # stub file no usable data
2010-11-16    # stub file no usable data
2010-11-17    # stub file no usable data
2010-12-03    # stub file no usable data
2010-12-04    # missing file
2010-12-05    # only few data at night
2010-12-06    # range of bad data and timing
2010-12-07    # range of bad data and timing
2010-12-08    # range of bad data and timing
2010-12-09    # range of bad data and timing
2010-12-10    # range of bad data and timing
2010-12-11    # range of bad data and timing
2010-12-12    # range of bad data and timing
2010-12-13    # range of bad data and timing
2010-12-14    # range of bad data and timing
2010-12-15    # range of bad data and timing
2010-12-16    # range of bad data and timing
2010-12-17    # range of bad data and timing
2010-12-18    # range of bad data and timing
2010-12-19    # range of bad data and timing
2010-12-20    # range of bad data and timing
2010-12-21    # range of bad data and timing
2010-12-22    # range of bad data and timing
2010-12-23    # range of bad data and timing
2010-12-24    # ? range of bad data and timing
2010-12-25    # ? range of bad data and timing
2010-12-26    # ? range of bad data and timing
2010-12-27    # ? range of bad data and timing
2010-12-28    # ? range of bad data and timing
2010-12-29    # broken sequence
2010-12-30    # broken sequence
2010-12-31    # too few data

2011-01-01    # ? range of bad data and timing
2011-01-02    # ? range of bad data and timing
2011-03-10    # missing file
2011-10-09    # missing file
2011-11-20    # missing file
2011-12-06    # missing file
2011-12-06    # stub file no usable data
2011-12-07    # missing file
2011-12-07    # stub file no usable data
2011-12-08    # stub file no usable data
2011-12-09    # stub file no usable data
2011-12-10    # stub file no usable data
2011-12-11    # stub file no usable data
2011-12-12    # stub file no usable data
2011-12-13    # stub file no usable data
2011-12-14    # stub file no usable data
2011-12-15    # stub file no usable data
2011-12-16    # stub file no usable data
2011-12-17    # stub file no usable data
2011-12-18    # stub file no usable data
2011-12-19    # stub file no usable data
2011-12-20    # stub file no usable data
2011-12-21    # stub file no usable data
2011-12-22    # stub file no usable data
2011-12-23    # stub file no usable data
2011-12-24    # stub file no usable data
2011-12-25    # stub file no usable data
2011-12-26    # stub file no usable data
2011-12-27    # stub file no usable data
2011-12-28    # stub file no usable data
2011-12-29    # stub file no usable data
2011-12-30    # stub file no usable data
2011-12-31    # stub file no usable data

2012-01-01    # missing file
2012-01-02    # missing file
2012-01-03    # missing file
2012-01-04    # missing file
2012-01-05    # missing file
2012-01-06    # missing file
2012-01-07    # missing file
2012-01-08    # missing file
2012-01-09    # missing file
2012-01-10    # missing file
2012-01-11    # missing file
2012-01-12    # missing file
2012-01-13    # missing file
2012-01-14    # missing file
2012-01-15    # missing file
2012-01-16    # missing file
2012-01-17    # missing file
2012-01-18    # missing file
2012-01-19    # missing file
2012-01-20    # missing file
2012-01-21    # missing file
2012-01-22    # missing file
2012-01-23    # missing file
2012-01-24    # missing file
2012-01-25    # missing file
2012-01-26    # missing file
2012-01-27    # missing file
2012-01-28    # missing file
2012-01-29    # missing file
2012-01-30    # stub file no usable data

2013-01-11    # missing file
2013-01-12    # only few data at night
2013-03-21    # missing file
2013-08-29    # missing file
2013-10-03    # missing file
2013-10-04    # missing file
2013-10-05    # missing file
2013-10-06    # missing file
2013-10-07    # missing file
2013-12-11    # missing file
2013-12-12    # missing file
2013-12-30    # missing file
2013-12-31    # missing file

2014-02-06    # missing file
2014-02-07    # missing file
2014-02-08    # missing file
2014-02-09    # missing file
2014-03-24    # missing file
2014-03-25    # missing file
2014-03-26    # missing file
2014-03-27    # missing file
2014-03-28    # missing file
2014-03-29    # missing file
2014-03-30    # missing file
2014-07-16    # missing file
2014-09-29    # missing file
2014-09-30    # missing file
2014-10-01    # missing file

2015-01-22    # missing file
2015-05-10    # missing file
2015-05-22    # missing file
2015-05-23    # missing file
2015-05-24    # missing file
2015-05-25    # missing file
2015-05-26    # missing file
2015-05-27    # missing file
2015-05-28    # missing file
2015-05-29    # missing file
2015-05-30    # missing file
2015-05-31    # missing file
2015-06-01    # missing file
2015-06-02    # missing file
2015-06-03    # missing file
2015-06-04    # missing file
2015-06-05    # missing file
2015-06-06    # missing file
2015-06-07    # missing file
2015-06-08    # missing file
2015-06-09    # missing file
2015-12-22    # missing file
2015-12-23    # missing file
2015-12-24    # missing file
2015-12-25    # missing file
2015-12-26    # missing file
2015-12-27    # missing file
2015-12-28    # missing file
2015-12-29    # missing file
2015-12-30    # missing file
2015-12-31    # missing file

2016-01-22    # missing file
2016-01-23    # missing file
2016-01-24    # missing file
2016-04-20    # missing file

2017-08-16    # irradical data
2017-11-08    # irradical data



